fc_prime,arm,eccentricity,fpe,area,Axial,Moment,Shear,Pass1,Pass2,Pass3,ComRatio
28,375,1,1200,250,2434.83,172.36,71.549984,3.290193,0.588476,0.073237,0.067508
40,250,0.8,800,750,1483.9,190.88,85.337097,9.103197,1.538354,0.277859,0.228728
28,300,0.6,50,1000,1877.09,36.36,72.976021,0.397782,0.101161,0.106278,0.050957
28,350,0.1,100,2000,2702.23,57.74,115.968904,-0.519871,0.105772,0.178061,0.093127
30,400,0.2,0,750,3305.54,26.23,92.501807,-0.000212,-2.30E-05,0.038857,0.020606
28,200,1,1200,1000,376.96,238.76,57.836702,46.61241,8.255584,-0.590434,0.968388
50,200,0.1,500,250,1243.28,18.14,39.106525,-0.780146,0.115494,0.177012,0.07193
40,400,0.2,50,250,4166.89,26.75,71.15459,-0.007341,0.004799,0.030192,0.014853
30,300,0.1,500,1750,1795.73,121.44,121.924461,-3.020636,0.590537,0.658724,0.316011
50,225,0.2,150,2000,2038.48,50.47,90.449531,-0.534092,0.295378,0.286781,0.157189
50,350,0.6,400,1750,4078.84,252.61,155.626418,3.062488,0.582555,0.155494,0.121613
30,250,0.2,0,2000,1795.42,21.12,73.500136,-0.000334,-3.60E-05,0.129493,0.07367
60,325,0.6,100,1000,4277.83,66.87,104.749217,0.463129,0.08044,0.067799,0.033768
50,200,0.6,1000,1750,866.28,264.22,89.098902,23.408197,4.464377,0.52935,0.802386
30,350,1,1200,1500,1870.11,846.49,147.057188,21.915075,3.78311,0.209149,0.43369
28,375,0.4,50,250,2584.33,21.88,58.612484,0.026684,0.011981,0.040084,0.018032
60,325,1,200,1250,4277.83,143.7,119.240196,2.498374,0.304651,0.064842,0.055273
70,350,0.6,1000,1250,5195.58,515.84,180.376418,4.622044,0.743064,0.259838,0.139424
70,225,0.6,1200,1000,1886.67,275.8,113.093178,10.732603,1.727879,0.462053,0.306257
50,225,0.6,400,1000,1674.48,88.39,79.074883,4.232804,0.806328,0.197712,0.167364
60,200,0.6,400,1500,1632.34,109.29,91.652114,7.326206,1.275522,0.263827,0.259818
40,275,0.2,150,1750,2310.26,56.81,98.41327,-0.336127,0.215358,0.217926,0.117347
50,375,0.4,1200,1500,4019.19,574.46,208.974424,2.900459,0.968238,0.449332,0.226419
50,375,0.4,100,500,4617.19,46.69,90.982509,0.080399,0.026881,0.045674,0.021652
50,200,1,400,500,1282.28,57.64,51.184078,5.813324,0.770499,0.073831,0.111392
60,225,0.4,150,750,2060.08,30.41,64.029651,0.451783,0.140631,0.103892,0.057428
28,275,0.4,500,500,1356.53,60.65,61.894438,0.992875,0.447625,0.220412,0.123756
70,275,0.4,800,1750,3144.33,329.76,167.360088,3.517433,1.002745,0.474221,0.249964
50,300,0.4,500,1250,2906.22,159.82,120.556476,1.565509,0.526237,0.24645,0.141985
50,325,0.1,200,2000,3764.19,84.87,136.85859,-0.906463,0.137686,0.194615,0.095423
40,250,0.8,50,1250,1919.4,41.93,71.978777,0.947991,0.160221,0.130322,0.061637
40,400,0.8,0,1000,4407.39,60.34,112.057959,-0.000183,-1.70E-05,0.067024,0.020606
28,375,0.6,100,750,2707.83,54.06,87.097565,0.38164,0.097044,0.074178,0.037972
30,200,0.4,400,250,764.17,18.48,32.739412,0.713551,0.316675,0.168214,0.094897
30,200,0.4,150,750,913.67,22.44,45.79078,0.802796,0.356265,0.209102,0.127423
28,400,0.1,50,1000,3152.77,33.98,101.74671,-0.098913,0.020159,0.061699,0.033466
60,250,0.2,400,1250,2472.84,81.54,101.675622,-0.643727,0.331558,0.284551,0.141477
60,200,0.8,200,1750,1840.34,86.74,83.811,6.78032,0.933853,0.157442,0.17816
50,275,0.2,200,1750,2739.95,70.03,109.037852,-0.400777,0.229722,0.216689,0.114609
50,275,0.8,50,1250,2733.45,51.21,86.202841,0.700241,0.105947,0.099924,0.044594
70,375,0.4,0,1750,6828.07,66.23,150.712101,-0.000147,-1.10E-05,0.051085,0.021818
40,325,0.6,200,500,2782.55,49.9,74.008925,0.567215,0.120659,0.066407,0.037971
28,275,0.1,200,1250,1590.53,41.11,79.985077,-1.070387,0.215691,0.286679,0.144084
60,325,0.8,200,1000,4225.83,106.54,109.249217,1.462552,0.202306,0.069039,0.046515
28,350,0.8,800,1000,2078.23,356.23,120.901275,7.379418,1.495179,0.264926,0.21963
70,225,0.2,500,750,2237.67,60.63,78.951289,-0.564177,0.263735,0.247171,0.112746
30,250,0.2,400,1000,1275.42,58.82,76.337097,-0.728362,0.530486,0.415981,0.220943
50,225,0.8,400,750,1648.48,82.01,68.990214,5.028844,0.759421,0.118531,0.128002
60,325,1,0,2000,4641.83,78.96,126.306099,-0.000183,-1.40E-05,0.109484,0.029852
40,300,0.4,1200,1250,1882.98,355.14,132.088151,4.201041,1.578744,0.66402,0.372122
40,250,0.6,0,1000,1873.9,20.92,64.208283,-0.000289,-2.70E-05,0.0962,0.035236
50,200,0.6,200,1750,1594.28,71.56,79.797853,4.681383,0.892854,0.241087,0.211791
70,300,0.1,50,1750,4478.21,41.48,119.612253,-0.197912,0.025297,0.072647,0.039288
28,400,0.1,800,250,2840.77,69.71,71.679,-0.394996,0.080711,0.141701,0.051018
40,400,0.1,200,1750,4459.39,97.8,150.787811,-0.578198,0.098885,0.146707,0.071887
60,400,1,800,2000,5935.08,990.56,233.615543,10.527258,1.287323,0.167119,0.158559
50,300,0.4,1200,1250,2451.22,370.55,150.284438,3.757525,1.262995,0.563874,0.295925
60,400,0.8,50,250,6214.58,46.27,81.370271,0.060074,0.008334,0.031026,0.009948
30,225,0.8,150,1500,1293.29,67.02,69.092151,4.869067,0.949266,0.194647,0.194538
50,350,0.8,200,1500,4208.84,154.28,131.409453,2.070728,0.313978,0.083163,0.065731
70,300,0.4,1200,500,3821.71,169.14,103.187297,1.270166,0.360848,0.19278,0.084691
50,300,1,200,1750,3205.22,162.53,119.15207,4.501848,0.600619,0.079168,0.098668
70,325,0.6,50,1750,5187.96,80.89,131.114703,0.375156,0.060328,0.077445,0.035063
28,375,0.8,0,1500,2980.83,55.58,105.483822,-0.000233,-2.60E-05,0.107178,0.033547
60,200,0.1,0,1250,1866.34,11.39,60.839969,-0.000292,-2.20E-05,0.068582,0.042543
